"","Group","Date","Age.band","gradeval","Gender","count","total","share","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"1","BIS",2013,"< 29",1,"Female",190,3140,-0.0605095541401274,0.117834394904459,0.117834394904459,0.494692144373673,0.494692144373673,FALSE,-0.0605095541401274
"2","BIS",2013,"< 29",1,"Male",180,3140,0.0573248407643312,0.117834394904459,0.117834394904459,0.494692144373673,0.494692144373673,FALSE,0.0573248407643312
"3","BIS",2013,"50-59",4,"Female",360,3140,-0.114649681528662,0.267515923566879,1.07006369426752,0.494692144373673,0.494692144373673,FALSE,-0.114649681528662
"4","BIS",2013,"50-59",4,"Male",480,3140,0.152866242038217,0.267515923566879,1.07006369426752,0.494692144373673,0.494692144373673,FALSE,0.152866242038217
"5","BIS",2013,"65 +",6,"Female",20,3140,-0.00636942675159236,0.0159235668789809,0.0955414012738854,0.494692144373673,0.494692144373673,FALSE,-0.00636942675159236
"6","BIS",2013,"40-49",3,"Female",530,3140,-0.168789808917197,0.340764331210191,1.02229299363057,0.494692144373673,0.494692144373673,FALSE,-0.168789808917197
"7","BIS",2013,"65 +",6,"Male",30,3140,0.00955414012738853,0.0159235668789809,0.0955414012738854,0.494692144373673,0.494692144373673,FALSE,0.00955414012738853
"8","BIS",2013,"60-64",5,"Male",100,3140,0.0318471337579618,0.0445859872611465,0.222929936305732,0.494692144373673,0.494692144373673,FALSE,0.0318471337579618
"9","BIS",2013,"30-39",2,"Female",380,3140,-0.121019108280255,0.219745222929936,0.439490445859873,0.494692144373673,0.494692144373673,FALSE,-0.121019108280255
"10","BIS",2013,"60-64",5,"Female",40,3140,-0.0127388535031847,0.0445859872611465,0.222929936305732,0.494692144373673,0.494692144373673,FALSE,-0.0127388535031847
"11","BIS",2013,"40-49",3,"Male",540,3140,0.171974522292994,0.340764331210191,1.02229299363057,0.494692144373673,0.494692144373673,FALSE,0.171974522292994
"12","BIS",2013,"30-39",2,"Male",310,3140,0.0987261146496815,0.219745222929936,0.439490445859873,0.494692144373673,0.494692144373673,FALSE,0.0987261146496815
"13","CO",2013,"50-59",4,"Male",160,1840,0.0869565217391304,0.16304347826087,0.652173913043478,0.404891304347826,0.404891304347826,FALSE,0.0869565217391304
"14","CO",2013,"65 +",6,"Female",0,1840,0,0.00543478260869565,0.0326086956521739,0.404891304347826,0.404891304347826,FALSE,0
"15","CO",2013,"60-64",5,"Female",10,1840,-0.00543478260869565,0.016304347826087,0.0815217391304348,0.404891304347826,0.404891304347826,FALSE,-0.00543478260869565
"16","CO",2013,"60-64",5,"Male",20,1840,0.0108695652173913,0.016304347826087,0.0815217391304348,0.404891304347826,0.404891304347826,FALSE,0.0108695652173913
"17","CO",2013,"< 29",1,"Male",190,1840,0.103260869565217,0.206521739130435,0.206521739130435,0.404891304347826,0.404891304347826,FALSE,0.103260869565217
"18","CO",2013,"40-49",3,"Female",220,1840,-0.119565217391304,0.25,0.75,0.404891304347826,0.404891304347826,FALSE,-0.119565217391304
"19","CO",2013,"40-49",3,"Male",240,1840,0.130434782608696,0.25,0.75,0.404891304347826,0.404891304347826,FALSE,0.130434782608696
"20","CO",2013,"65 +",6,"Male",10,1840,0.00543478260869565,0.00543478260869565,0.0326086956521739,0.404891304347826,0.404891304347826,FALSE,0.00543478260869565
"21","CO",2013,"50-59",4,"Female",140,1840,-0.0760869565217391,0.16304347826087,0.652173913043478,0.404891304347826,0.404891304347826,FALSE,-0.0760869565217391
"22","CO",2013,"30-39",2,"Female",340,1840,-0.184782608695652,0.353260869565217,0.706521739130435,0.404891304347826,0.404891304347826,FALSE,-0.184782608695652
"23","CO",2013,"30-39",2,"Male",310,1840,0.168478260869565,0.353260869565217,0.706521739130435,0.404891304347826,0.404891304347826,FALSE,0.168478260869565
"24","CO",2013,"< 29",1,"Female",190,1840,-0.103260869565217,0.206521739130435,0.206521739130435,0.404891304347826,0.404891304347826,FALSE,-0.103260869565217
"25","DCLG",2013,"30-39",2,"Female",290,1730,-0.167630057803468,0.30635838150289,0.61271676300578,0.472061657032755,0.472061657032755,FALSE,-0.167630057803468
"26","DCLG",2013,"< 29",1,"Male",60,1730,0.0346820809248555,0.092485549132948,0.092485549132948,0.472061657032755,0.472061657032755,FALSE,0.0346820809248555
"27","DCLG",2013,"< 29",1,"Female",100,1730,-0.0578034682080925,0.092485549132948,0.092485549132948,0.472061657032755,0.472061657032755,FALSE,-0.0578034682080925
"28","DCLG",2013,"65 +",6,"Male",10,1730,0.00578034682080925,0.00578034682080925,0.0346820809248555,0.472061657032755,0.472061657032755,FALSE,0.00578034682080925
"29","DCLG",2013,"30-39",2,"Male",240,1730,0.138728323699422,0.30635838150289,0.61271676300578,0.472061657032755,0.472061657032755,FALSE,0.138728323699422
"30","DCLG",2013,"60-64",5,"Female",20,1730,-0.0115606936416185,0.0289017341040462,0.144508670520231,0.472061657032755,0.472061657032755,FALSE,-0.0115606936416185
"31","DCLG",2013,"60-64",5,"Male",30,1730,0.0173410404624277,0.0289017341040462,0.144508670520231,0.472061657032755,0.472061657032755,FALSE,0.0173410404624277
"32","DCLG",2013,"40-49",3,"Male",290,1730,0.167630057803468,0.341040462427746,1.02312138728324,0.472061657032755,0.472061657032755,FALSE,0.167630057803468
"33","DCLG",2013,"50-59",4,"Female",170,1730,-0.0982658959537572,0.23121387283237,0.92485549132948,0.472061657032755,0.472061657032755,FALSE,-0.0982658959537572
"34","DCLG",2013,"50-59",4,"Male",230,1730,0.132947976878613,0.23121387283237,0.92485549132948,0.472061657032755,0.472061657032755,FALSE,0.132947976878613
"35","DCLG",2013,"40-49",3,"Female",300,1730,-0.173410404624277,0.341040462427746,1.02312138728324,0.472061657032755,0.472061657032755,FALSE,-0.173410404624277
"36","DCLG",2013,"65 +",6,"Female",0,1730,0,0.00578034682080925,0.0346820809248555,0.472061657032755,0.472061657032755,FALSE,0
"37","DCMS",2013,"60-64",5,"Male",10,390,0.0256410256410256,0.0256410256410256,0.128205128205128,0.47008547008547,0.47008547008547,FALSE,0.0256410256410256
