Grade,Gender,Variable,value
Senior Civil Service,Female,% in grade 2012,0.351
Grades 6 & 7,Female,% in grade 2012,0.411
Senior/Higher Executive Officer,Female,% in grade 2012,0.45
Executive Officer,Female,% in grade 2012,0.556
Administrative Officer/Assistant,Female,% in grade 2012,0.58
All grades,Female,% in grade 2012,0.531
Senior Civil Service,Male,% in grade 2012,0.649
Grades 6 & 7,Male,% in grade 2012,0.589
Senior/Higher Executive Officer,Male,% in grade 2012,0.55
Executive Officer,Male,% in grade 2012,0.444
Administrative Officer/Assistant,Male,% in grade 2012,0.42
All grades,Male,% in grade 2012,0.469
Senior Civil Service,Female,as % of cut 2010-2012,0.277
Grades 6 & 7,Female,as % of cut 2010-2012,0.298
Senior/Higher Executive Officer,Female,as % of cut 2010-2012,0.524
Executive Officer,Female,as % of cut 2010-2012,0.599
Administrative Officer/Assistant,Female,as % of cut 2010-2012,0.529
All grades,Female,as % of cut 2010-2012,0.53
Senior Civil Service,Male,as % of cut 2010-2012,0.723
Grades 6 & 7,Male,as % of cut 2010-2012,0.702
Senior/Higher Executive Officer,Male,as % of cut 2010-2012,0.476
Executive Officer,Male,as % of cut 2010-2012,0.401
Administrative Officer/Assistant,Male,as % of cut 2010-2012,0.471
All grades,Male,as % of cut 2010-2012,0.47
